ㄱ,0xA4A1   ,ㄲ,0xA4A2   ,ㄳ,0xA4A3   ,ㄴ,0xA4A4   ,ㄵ,0xA4A5
골,0xB0F1   ,곪,0xB0F2   ,곬,0xB0F3   ,곯,0xB0F4   ,곰,0xB0F5
곱,0xB0F6   ,곳,0xB0F7   ,공,0xB0F8   ,곶,0xB0F9   ,과,0xB0FA
곽,0xB0FB   ,관,0xB0FC   ,괄,0xB0FD   ,괆,0xB0FE   ,괌,0xB1A1
괍,0xB1A2   ,괏,0xB1A3   ,광,0xB1A4   ,괘,0xB1A5   ,괜,0xB1A6
괠,0xB1A7   ,괩,0xB1A8   ,괬,0xB1A9   ,괭,0xB1AA   ,괴,0xB1AB
괵,0xB1AC   ,괸,0xB1AD   ,괼,0xB1AE   ,굄,0xB1AF   ,굅,0xB1B0
굇,0xB1B1   ,굉,0xB1B2   ,교,0xB1B3   ,굔,0xB1B4   ,굘,0xB1B5
굡,0xB1B6   ,굣,0xB1B7   ,구,0xB1B8   ,국,0xB1B9   ,군,0xB1BA
굳,0xB1BB   ,굴,0xB1BC   ,굵,0xB1BD   ,굶,0xB1BE   ,굻,0xB1BF
굼,0xB1C0   ,굽,0xB1C1   ,굿,0xB1C2   ,궁,0xB1C3   ,궂,0xB1C4
궈,0xB1C5   ,궉,0xB1C6   ,권,0xB1C7   ,궐,0xB1C8   ,궜,0xB1C9
궝,0xB1CA   ,궤,0xB1CB   ,궷,0xB1CC   ,귀,0xB1CD   ,귁,0xB1CE
귄,0xB1CF   ,귈,0xB1D0   ,귐,0xB1D1   ,귑,0xB1D2   ,귓,0xB1D3
규,0xB1D4   ,균,0xB1D5   ,귤,0xB1D6   ,그,0xB1D7   ,극,0xB1D8
근,0xB1D9   ,귿,0xB1DA   ,글,0xB1DB   ,긁,0xB1DC   ,금,0xB1DD
급,0xB1DE   ,긋,0xB1DF   ,긍,0xB1E0   ,긔,0xB1E1   ,기,0xB1E2
긱,0xB1E3   ,긴,0xB1E4   ,긷,0xB1E5   ,길,0xB1E6   ,긺,0xB1E7
김,0xB1E8   ,깁,0xB1E9   ,깃,0xB1EA   ,깅,0xB1EB   ,깆,0xB1EC
깊,0xB1ED   ,까,0xB1EE   ,깍,0xB1EF   ,깎,0xB1F0   ,깐,0xB1F1
깔,0xB1F2   ,깖,0xB1F3   ,깜,0xB1F4   ,깝,0xB1F5   ,깟,0xB1F6
깠,0xB1F7   ,깡,0xB1F8   ,깥,0xB1F9   ,깨,0xB1FA   ,깩,0xB1FB
깬,0xB1FC   ,깰,0xB1FD   ,깸,0xB1FE   ,깹,0xB2A1   ,깻,0xB2A2
깼,0xB2A3   ,깽,0xB2A4   ,꺄,0xB2A5   ,꺅,0xB2A6   ,꺌,0xB2A7
꺼,0xB2A8   ,꺽,0xB2A9   ,꺾,0xB2AA   ,껀,0xB2AB   ,껄,0xB2AC
껌,0xB2AD   ,껍,0xB2AE   ,껏,0xB2AF   ,껐,0xB2B0   ,껑,0xB2B1
께,0xB2B2   ,껙,0xB2B3   ,껜,0xB2B4   ,껨,0xB2B5   ,껫,0xB2B6
껭,0xB2B7   ,껴,0xB2B8   ,껸,0xB2B9   ,껼,0xB2BA   ,꼇,0xB2BB
꼈,0xB2BC   ,꼍,0xB2BD   ,꼐,0xB2BE   ,꼬,0xB2BF   ,꼭,0xB2C0
꼰,0xB2C1   ,꼲,0xB2C2   ,꼴,0xB2C3   ,꼼,0xB2C4   ,꼽,0xB2C5
꼿,0xB2C6   ,꽁,0xB2C7   ,꽂,0xB2C8   ,꽃,0xB2C9   ,꽈,0xB2CA
꽉,0xB2CB   ,꽐,0xB2CC   ,꽜,0xB2CD   ,꽝,0xB2CE   ,꽤,0xB2CF
꽥,0xB2D0   ,꽹,0xB2D1   ,꾀,0xB2D2   ,꾄,0xB2D3   ,꾈,0xB2D4
꾐,0xB2D5   ,꾑,0xB2D6   ,꾕,0xB2D7   ,꾜,0xB2D8   ,꾸,0xB2D9
꾹,0xB2DA   ,꾼,0xB2DB   ,꿀,0xB2DC   ,꿇,0xB2DD   ,꿈,0xB2DE
꿉,0xB2DF   ,꿋,0xB2E0   ,꿍,0xB2E1   ,꿎,0xB2E2   ,꿔,0xB2E3
꿜,0xB2E4   ,꿨,0xB2E5   ,꿩,0xB2E6   ,꿰,0xB2E7   ,꿱,0xB2E8
꿴,0xB2E9   ,꿸,0xB2EA   ,뀀,0xB2EB   ,뀁,0xB2EC   ,뀄,0xB2ED
뀌,0xB2EE   ,뀐,0xB2EF   ,뀔,0xB2F0   ,뀜,0xB2F1   ,뀝,0xB2F2
뀨,0xB2F3   ,끄,0xB2F4   ,끅,0xB2F5   ,끈,0xB2F6   ,끊,0xB2F7
끌,0xB2F8   ,끎,0xB2F9   ,끓,0xB2FA   ,끔,0xB2FB   ,끕,0xB2FC
끗,0xB2FD   ,끙,0xB2FE   ,끝,0xB3A1   ,끼,0xB3A2   ,끽,0xB3A3
낀,0xB3A4   ,낄,0xB3A5   ,낌,0xB3A6   ,낍,0xB3A7   ,낏,0xB3A8
낑,0xB3A9   ,나,0xB3AA   ,낙,0xB3AB   ,낚,0xB3AC   ,난,0xB3AD
낟,0xB3AE   ,날,0xB3AF   ,낡,0xB3B0   ,낢,0xB3B1   ,남,0xB3B2
납,0xB3B3   ,낫,0xB3B4   ,났,0xB3B5   ,낭,0xB3B6   ,낮,0xB3B7
낯,0xB3B8   ,낱,0xB3B9   ,낳,0xB3BA   ,내,0xB3BB   ,낵,0xB3BC
낸,0xB3BD   ,낼,0xB3BE   ,냄,0xB3BF   ,냅,0xB3C0   ,냇,0xB3C1
냈,0xB3C2   ,냉,0xB3C3   ,냐,0xB3C4   ,냑,0xB3C5   ,냔,0xB3C6
냘,0xB3C7   ,냠,0xB3C8   ,냥,0xB3C9   ,너,0xB3CA   ,넉,0xB3CB
넋,0xB3CC   ,넌,0xB3CD   ,널,0xB3CE   ,넒,0xB3CF   ,넓,0xB3D0
넘,0xB3D1   ,넙,0xB3D2   ,넛,0xB3D3   ,넜,0xB3D4   ,넝,0xB3D5
넣,0xB3D6   ,네,0xB3D7   ,넥,0xB3D8   ,넨,0xB3D9   ,넬,0xB3DA
넴,0xB3DB   ,넵,0xB3DC   ,넷,0xB3DD   ,넸,0xB3DE   ,넹,0xB3DF
녀,0xB3E0   ,녁,0xB3E1   ,년,0xB3E2   ,녈,0xB3E3   ,념,0xB3E4
녑,0xB3E5   ,녔,0xB3E6   ,녕,0xB3E7   ,녘,0xB3E8   ,녜,0xB3E9
녠,0xB3EA   ,노,0xB3EB   ,녹,0xB3EC   ,논,0xB3ED   ,놀,0xB3EE
놂,0xB3EF   ,놈,0xB3F0   ,놉,0xB3F1   ,놋,0xB3F2   ,농,0xB3F3
높,0xB3F4   ,놓,0xB3F5   ,놔,0xB3F6   ,놘,0xB3F7   ,놜,0xB3F8
놨,0xB3F9   ,뇌,0xB3FA   ,뇐,0xB3FB   ,뇔,0xB3FC   ,뇜,0xB3FD
뇝,0xB3FE   ,뇟,0xB4A1   ,뇨,0xB4A2   ,뇩,0xB4A3   ,뇬,0xB4A4
뇰,0xB4A5   ,뇹,0xB4A6   ,뇻,0xB4A7   ,뇽,0xB4A8   ,누,0xB4A9
눅,0xB4AA   ,눈,0xB4AB   ,눋,0xB4AC   ,눌,0xB4AD   ,눔,0xB4AE
눕,0xB4AF   ,눗,0xB4B0   ,눙,0xB4B1   ,눠,0xB4B2   ,눴,0xB4B3
눼,0xB4B4   ,뉘,0xB4B5   ,뉜,0xB4B6   ,뉠,0xB4B7   ,뉨,0xB4B8
뉩,0xB4B9   ,뉴,0xB4BA   ,뉵,0xB4BB   ,뉼,0xB4BC   ,늄,0xB4BD
늅,0xB4BE   ,늉,0xB4BF   ,느,0xB4C0   ,늑,0xB4C1   ,는,0xB4C2
늘,0xB4C3   ,늙,0xB4C4   ,늚,0xB4C5   ,늠,0xB4C6   ,늡,0xB4C7
늣,0xB4C8   ,능,0xB4C9   ,늦,0xB4CA   ,늪,0xB4CB   ,늬,0xB4CC
늰,0xB4CD   ,늴,0xB4CE   ,니,0xB4CF   ,닉,0xB4D0   ,닌,0xB4D1
닐,0xB4D2   ,닒,0xB4D3   ,님,0xB4D4   ,닙,0xB4D5   ,닛,0xB4D6
닝,0xB4D7   ,닢,0xB4D8   ,다,0xB4D9   ,닥,0xB4DA   ,닦,0xB4DB
단,0xB4DC   ,닫,0xB4DD   ,달,0xB4DE   ,닭,0xB4DF   ,닮,0xB4E0
닯,0xB4E1   ,닳,0xB4E2   ,담,0xB4E3   ,답,0xB4E4   ,닷,0xB4E5
닸,0xB4E6   ,당,0xB4E7   ,닺,0xB4E8   ,닻,0xB4E9   ,닿,0xB4EA
대,0xB4EB   ,댁,0xB4EC   ,댄,0xB4ED   ,댈,0xB4EE   ,댐,0xB4EF
댑,0xB4F0   ,댓,0xB4F1   ,댔,0xB4F2   ,댕,0xB4F3   ,댜,0xB4F4
더,0xB4F5   ,덕,0xB4F6   ,덖,0xB4F7   ,던,0xB4F8   ,덛,0xB4F9
덜,0xB4FA   ,덞,0xB4FB   ,덟,0xB4FC   ,덤,0xB4FD   ,덥,0xB4FE
덧,0xB5A1   ,덩,0xB5A2   ,덫,0xB5A3   ,덮,0xB5A4   ,데,0xB5A5
덱,0xB5A6   ,덴,0xB5A7   ,델,0xB5A8   ,뎀,0xB5A9   ,뎁,0xB5AA
뎃,0xB5AB   ,뎄,0xB5AC   ,뎅,0xB5AD   ,뎌,0xB5AE   ,뎐,0xB5AF
뎔,0xB5B0   ,뎠,0xB5B1   ,뎡,0xB5B2   ,뎨,0xB5B3   ,뎬,0xB5B4
도,0xB5B5   ,독,0xB5B6   ,돈,0xB5B7   ,돋,0xB5B8   ,돌,0xB5B9
돎,0xB5BA   ,돐,0xB5BB   ,돔,0xB5BC   ,돕,0xB5BD   ,돗,0xB5BE
동,0xB5BF   ,돛,0xB5C0   ,돝,0xB5C1   ,돠,0xB5C2   ,돤,0xB5C3
돨,0xB5C4   ,돼,0xB5C5   ,됐,0xB5C6   ,되,0xB5C7   ,된,0xB5C8
될,0xB5C9   ,됨,0xB5CA   ,됩,0xB5CB   ,됫,0xB5CC   ,됴,0xB5CD
두,0xB5CE   ,둑,0xB5CF   ,둔,0xB5D0   ,둘,0xB5D1   ,둠,0xB5D2
둡,0xB5D3   ,둣,0xB5D4   ,둥,0xB5D5   ,둬,0xB5D6   ,뒀,0xB5D7
뒈,0xB5D8   ,뒝,0xB5D9   ,뒤,0xB5DA   ,뒨,0xB5DB   ,뒬,0xB5DC
뒵,0xB5DD   ,뒷,0xB5DE   ,뒹,0xB5DF   ,듀,0xB5E0   ,듄,0xB5E1
듈,0xB5E2   ,듐,0xB5E3   ,듕,0xB5E4   ,드,0xB5E5   ,득,0xB5E6
든,0xB5E7   ,듣,0xB5E8   ,들,0xB5E9   ,듦,0xB5EA   ,듬,0xB5EB
듭,0xB5EC   ,듯,0xB5ED   ,등,0xB5EE   ,듸,0xB5EF   ,디,0xB5F0
딕,0xB5F1   ,딘,0xB5F2   ,딛,0xB5F3   ,딜,0xB5F4   ,딤,0xB5F5
딥,0xB5F6   ,딧,0xB5F7   ,딨,0xB5F8   ,딩,0xB5F9   ,딪,0xB5FA
따,0xB5FB   ,딱,0xB5FC   ,딴,0xB5FD   ,딸,0xB5FE   ,땀,0xB6A1
땁,0xB6A2   ,땃,0xB6A3   ,땄,0xB6A4   ,땅,0xB6A5   ,땋,0xB6A6
때,0xB6A7   ,땍,0xB6A8   ,땐,0xB6A9   ,땔,0xB6AA   ,땜,0xB6AB
땝,0xB6AC   ,땟,0xB6AD   ,땠,0xB6AE   ,땡,0xB6AF   ,떠,0xB6B0
떡,0xB6B1   ,떤,0xB6B2   ,떨,0xB6B3   ,떪,0xB6B4   ,떫,0xB6B5
떰,0xB6B6   ,떱,0xB6B7   ,떳,0xB6B8   ,떴,0xB6B9   ,떵,0xB6BA
떻,0xB6BB   ,떼,0xB6BC   ,떽,0xB6BD   ,뗀,0xB6BE   ,뗄,0xB6BF
뗌,0xB6C0   ,뗍,0xB6C1   ,뗏,0xB6C2   ,뗐,0xB6C3   ,뗑,0xB6C4
뗘,0xB6C5   ,뗬,0xB6C6   ,또,0xB6C7   ,똑,0xB6C8   ,똔,0xB6C9
똘,0xB6CA   ,똥,0xB6CB   ,똬,0xB6CC   ,똴,0xB6CD   ,뙈,0xB6CE
뙤,0xB6CF   ,뙨,0xB6D0   ,뚜,0xB6D1   ,뚝,0xB6D2   ,뚠,0xB6D3
뚤,0xB6D4   ,뚫,0xB6D5   ,뚬,0xB6D6   ,뚱,0xB6D7   ,뛔,0xB6D8
뛰,0xB6D9   ,뛴,0xB6DA   ,뛸,0xB6DB   ,뜀,0xB6DC   ,뜁,0xB6DD
뜅,0xB6DE   ,뜨,0xB6DF   ,뜩,0xB6E0   ,뜬,0xB6E1   ,뜯,0xB6E2
뜰,0xB6E3   ,뜸,0xB6E4   ,뜹,0xB6E5   ,뜻,0xB6E6   ,띄,0xB6E7
띈,0xB6E8   ,띌,0xB6E9   ,띔,0xB6EA   ,띕,0xB6EB   ,띠,0xB6EC
띤,0xB6ED   ,띨,0xB6EE   ,띰,0xB6EF   ,띱,0xB6F0   ,띳,0xB6F1
띵,0xB6F2   ,라,0xB6F3   ,락,0xB6F4   ,란,0xB6F5   ,랄,0xB6F6
람,0xB6F7   ,랍,0xB6F8   ,랏,0xB6F9   ,랐,0xB6FA   ,랑,0xB6FB
랒,0xB6FC   ,랖,0xB6FD   ,랗,0xB6FE   ,래,0xB7A1   ,랙,0xB7A2
랜,0xB7A3   ,랠,0xB7A4   ,램,0xB7A5   ,랩,0xB7A6   ,랫,0xB7A7
랬,0xB7A8   ,랭,0xB7A9   ,랴,0xB7AA   ,략,0xB7AB   ,랸,0xB7AC
럇,0xB7AD   ,량,0xB7AE   ,러,0xB7AF   ,럭,0xB7B0   ,런,0xB7B1
럴,0xB7B2   ,럼,0xB7B3   ,럽,0xB7B4   ,럿,0xB7B5   ,렀,0xB7B6
렁,0xB7B7   ,렇,0xB7B8   ,레,0xB7B9   ,렉,0xB7BA   ,렌,0xB7BB
렐,0xB7BC   ,렘,0xB7BD   ,렙,0xB7BE   ,렛,0xB7BF   ,렝,0xB7C0
려,0xB7C1   ,력,0xB7C2   ,련,0xB7C3   ,렬,0xB7C4   ,렴,0xB7C5
렵,0xB7C6   ,렷,0xB7C7   ,렸,0xB7C8   ,령,0xB7C9   ,례,0xB7CA
롄,0xB7CB   ,롑,0xB7CC   ,롓,0xB7CD   ,로,0xB7CE   ,록,0xB7CF
론,0xB7D0   ,롤,0xB7D1   ,롬,0xB7D2   ,롭,0xB7D3   ,롯,0xB7D4
롱,0xB7D5   ,롸,0xB7D6   ,롼,0xB7D7   ,뢍,0xB7D8   ,뢨,0xB7D9
뢰,0xB7DA   ,뢴,0xB7DB   ,뢸,0xB7DC   ,룀,0xB7DD   ,룁,0xB7DE
룃,0xB7DF   ,룅,0xB7E0   ,료,0xB7E1   ,룐,0xB7E2   ,룔,0xB7E3
룝,0xB7E4   ,룟,0xB7E5   ,룡,0xB7E6   ,루,0xB7E7   ,룩,0xB7E8
룬,0xB7E9   ,룰,0xB7EA   ,룸,0xB7EB   ,룹,0xB7EC   ,룻,0xB7ED
룽,0xB7EE   ,뤄,0xB7EF   ,뤘,0xB7F0   ,뤠,0xB7F1   ,뤼,0xB7F2
뤽,0xB7F3   ,륀,0xB7F4   ,륄,0xB7F5   ,륌,0xB7F6   ,륏,0xB7F7
륑,0xB7F8   ,류,0xB7F9   ,륙,0xB7FA   ,륜,0xB7FB   ,률,0xB7FC
륨,0xB7FD   ,륩,0xB7FE   ,륫,0xB8A1   ,륭,0xB8A2   ,르,0xB8A3
륵,0xB8A4   ,른,0xB8A5   ,를,0xB8A6   ,름,0xB8A7   ,릅,0xB8A8
릇,0xB8A9   ,릉,0xB8AA   ,릊,0xB8AB   ,릍,0xB8AC   ,릎,0xB8AD
리,0xB8AE   ,릭,0xB8AF   ,린,0xB8B0   ,릴,0xB8B1   ,림,0xB8B2
립,0xB8B3   ,릿,0xB8B4   ,링,0xB8B5   ,마,0xB8B6   ,막,0xB8B7
만,0xB8B8   ,많,0xB8B9   ,맏,0xB8BA   ,말,0xB8BB   ,맑,0xB8BC
맒,0xB8BD   ,맘,0xB8BE   ,맙,0xB8BF   ,맛,0xB8C0   ,망,0xB8C1
맞,0xB8C2   ,맡,0xB8C3   ,맣,0xB8C4   ,매,0xB8C5   ,맥,0xB8C6
맨,0xB8C7   ,맬,0xB8C8   ,맴,0xB8C9   ,맵,0xB8CA   ,맷,0xB8CB
맸,0xB8CC   ,맹,0xB8CD   ,맺,0xB8CE   ,먀,0xB8CF   ,먁,0xB8D0
먈,0xB8D1   ,먕,0xB8D2   ,머,0xB8D3   ,먹,0xB8D4   ,먼,0xB8D5
멀,0xB8D6   ,멂,0xB8D7   ,멈,0xB8D8   ,멉,0xB8D9   ,멋,0xB8DA
멍,0xB8DB   ,멎,0xB8DC   ,멓,0xB8DD   ,메,0xB8DE   ,멕,0xB8DF
멘,0xB8E0   ,멜,0xB8E1   ,멤,0xB8E2   ,멥,0xB8E3   ,멧,0xB8E4
멨,0xB8E5   ,멩,0xB8E6   ,며,0xB8E7   ,멱,0xB8E8   ,면,0xB8E9
멸,0xB8EA   ,몃,0xB8EB   ,몄,0xB8EC   ,명,0xB8ED   ,몇,0xB8EE
몌,0xB8EF   ,모,0xB8F0   ,목,0xB8F1   ,몫,0xB8F2   ,몬,0xB8F3
몰,0xB8F4   ,몲,0xB8F5   ,몸,0xB8F6   ,몹,0xB8F7   ,못,0xB8F8
몽,0xB8F9   ,뫄,0xB8FA   ,뫈,0xB8FB   ,뫘,0xB8FC   ,뫙,0xB8FD
뫼,0xB8FE   ,묀,0xB9A1   ,묄,0xB9A2   ,묍,0xB9A3   ,묏,0xB9A4
묑,0xB9A5   ,묘,0xB9A6   ,묜,0xB9A7   ,묠,0xB9A8   ,묩,0xB9A9
묫,0xB9AA   ,무,0xB9AB   ,묵,0xB9AC   ,묶,0xB9AD   ,문,0xB9AE
묻,0xB9AF   ,물,0xB9B0   ,묽,0xB9B1   ,묾,0xB9B2   ,뭄,0xB9B3
뭅,0xB9B4   ,뭇,0xB9B5   ,뭉,0xB9B6   ,뭍,0xB9B7   ,뭏,0xB9B8
뭐,0xB9B9   ,뭔,0xB9BA   ,뭘,0xB9BB   ,뭡,0xB9BC   ,뭣,0xB9BD
뭬,0xB9BE   ,뮈,0xB9BF   ,뮌,0xB9C0   ,뮐,0xB9C1   ,뮤,0xB9C2
뮨,0xB9C3   ,뮬,0xB9C4   ,뮴,0xB9C5   ,뮷,0xB9C6   ,므,0xB9C7
믄,0xB9C8   ,믈,0xB9C9   ,믐,0xB9CA   ,믓,0xB9CB   ,미,0xB9CC
믹,0xB9CD   ,민,0xB9CE   ,믿,0xB9CF   ,밀,0xB9D0   ,밂,0xB9D1
밈,0xB9D2   ,밉,0xB9D3   ,밋,0xB9D4   ,밌,0xB9D5   ,밍,0xB9D6
및,0xB9D7   ,밑,0xB9D8   ,바,0xB9D9   ,박,0xB9DA   ,밖,0xB9DB
밗,0xB9DC   ,반,0xB9DD   ,받,0xB9DE   ,발,0xB9DF   ,밝,0xB9E0
밞,0xB9E1   ,밟,0xB9E2   ,밤,0xB9E3   ,밥,0xB9E4   ,밧,0xB9E5
방,0xB9E6   ,밭,0xB9E7   ,배,0xB9E8   ,백,0xB9E9   ,밴,0xB9EA
밸,0xB9EB   ,뱀,0xB9EC   ,뱁,0xB9ED   ,뱃,0xB9EE   ,뱄,0xB9EF
뱅,0xB9F0   ,뱉,0xB9F1   ,뱌,0xB9F2   ,뱍,0xB9F3   ,뱐,0xB9F4
뱝,0xB9F5   ,버,0xB9F6   ,벅,0xB9F7   ,번,0xB9F8   ,벋,0xB9F9
벌,0xB9FA   ,벎,0xB9FB   ,범,0xB9FC   ,법,0xB9FD   ,벗,0xB9FE
벙,0xBAA1   ,벚,0xBAA2   ,베,0xBAA3   ,벡,0xBAA4   ,벤,0xBAA5
벧,0xBAA6   ,벨,0xBAA7   ,벰,0xBAA8   ,벱,0xBAA9   ,벳,0xBAAA
벴,0xBAAB   ,벵,0xBAAC   ,벼,0xBAAD   ,벽,0xBAAE   ,변,0xBAAF
별,0xBAB0   ,볍,0xBAB1   ,볏,0xBAB2   ,볐,0xBAB3   ,병,0xBAB4
볕,0xBAB5   ,볘,0xBAB6   ,볜,0xBAB7   ,보,0xBAB8   ,복,0xBAB9
볶,0xBABA   ,본,0xBABB   ,볼,0xBABC   ,봄,0xBABD   ,봅,0xBABE
봇,0xBABF   ,봉,0xBAC0   ,봐,0xBAC1   ,봔,0xBAC2   ,봤,0xBAC3
봬,0xBAC4   ,뵀,0xBAC5   ,뵈,0xBAC6   ,뵉,0xBAC7   ,뵌,0xBAC8
뵐,0xBAC9   ,뵘,0xBACA   ,뵙,0xBACB   ,뵤,0xBACC   ,뵨,0xBACD
부,0xBACE   ,북,0xBACF   ,분,0xBAD0   ,붇,0xBAD1   ,불,0xBAD2
붉,0xBAD3   ,붊,0xBAD4   ,붐,0xBAD5   ,붑,0xBAD6   ,붓,0xBAD7
붕,0xBAD8   ,붙,0xBAD9   ,붚,0xBADA   ,붜,0xBADB   ,붤,0xBADC
붰,0xBADD   ,붸,0xBADE   ,뷔,0xBADF   ,뷕,0xBAE0   ,뷘,0xBAE1
뷜,0xBAE2   ,뷩,0xBAE3   ,뷰,0xBAE4   ,뷴,0xBAE5   ,뷸,0xBAE6
븀,0xBAE7   ,븃,0xBAE8   ,븅,0xBAE9   ,브,0xBAEA   ,븍,0xBAEB
븐,0xBAEC   ,블,0xBAED   ,븜,0xBAEE   ,븝,0xBAEF   ,븟,0xBAF0
비,0xBAF1   ,빅,0xBAF2   ,빈,0xBAF3   ,빌,0xBAF4   ,빎,0xBAF5
빔,0xBAF6   ,빕,0xBAF7   ,빗,0xBAF8   ,빙,0xBAF9   ,빚,0xBAFA
빛,0xBAFB   ,빠,0xBAFC   ,빡,0xBAFD   ,빤,0xBAFE   ,빨,0xBBA1
빪,0xBBA2   ,빰,0xBBA3   ,빱,0xBBA4   ,빳,0xBBA5   ,빴,0xBBA6
빵,0xBBA7   ,빻,0xBBA8   ,빼,0xBBA9   ,빽,0xBBAA   ,뺀,0xBBAB
뺄,0xBBAC   ,뺌,0xBBAD   ,뺍,0xBBAE   ,뺏,0xBBAF   ,뺐,0xBBB0
뺑,0xBBB1   ,뺘,0xBBB2   ,뺙,0xBBB3   ,뺨,0xBBB4   ,뻐,0xBBB5
뻑,0xBBB6   ,뻔,0xBBB7   ,뻗,0xBBB8   ,뻘,0xBBB9   ,뻠,0xBBBA
뻣,0xBBBB   ,뻤,0xBBBC   ,뻥,0xBBBD   ,뻬,0xBBBE   ,뼁,0xBBBF
뼈,0xBBC0   ,뼉,0xBBC1   ,뼘,0xBBC2   ,뼙,0xBBC3   ,뼛,0xBBC4
뼜,0xBBC5   ,뼝,0xBBC6   ,뽀,0xBBC7   ,뽁,0xBBC8   ,뽄,0xBBC9
뽈,0xBBCA   ,뽐,0xBBCB   ,뽑,0xBBCC   ,뽕,0xBBCD   ,뾔,0xBBCE
뾰,0xBBCF   ,뿅,0xBBD0   ,뿌,0xBBD1   ,뿍,0xBBD2   ,뿐,0xBBD3
뿔,0xBBD4   ,뿜,0xBBD5   ,뿟,0xBBD6   ,뿡,0xBBD7   ,쀼,0xBBD8
쁑,0xBBD9   ,쁘,0xBBDA   ,쁜,0xBBDB   ,쁠,0xBBDC   ,쁨,0xBBDD
쁩,0xBBDE   ,삐,0xBBDF   ,삑,0xBBE0   ,삔,0xBBE1   ,삘,0xBBE2
삠,0xBBE3   ,삡,0xBBE4   ,삣,0xBBE5   ,삥,0xBBE6   ,사,0xBBE7
삭,0xBBE8   ,삯,0xBBE9   ,산,0xBBEA   ,삳,0xBBEB   ,살,0xBBEC
삵,0xBBED   ,삶,0xBBEE   ,삼,0xBBEF   ,삽,0xBBF0   ,삿,0xBBF1
샀,0xBBF2   ,상,0xBBF3   ,샅,0xBBF4   ,새,0xBBF5   ,색,0xBBF6
샌,0xBBF7   ,샐,0xBBF8   ,샘,0xBBF9   ,샙,0xBBFA   ,샛,0xBBFB
샜,0xBBFC   ,생,0xBBFD   ,샤,0xBBFE   ,샥,0xBCA1   ,샨,0xBCA2
